id,domain,name,gate,priority,squad,assignee,predecessors,baselineStatus,deliveryStatus,frontendFeature,frontendPath,acceptance,acceptanceTestId,source,sourceRow
GOV-001,Architecture and governance,"Baseline, ADRs and change control",G0,P0,Architecture,Unassigned,,Not started,not_started,implementation,src/features/implementation/ImplementationCenter.jsx,"Scope IDs, ADR ownership and compatibility rules are approved; no silent requirement deletion.",AT-GOV-001,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,6
GOV-002,Architecture and governance,Version and dependency bill of materials,G0,P0,Architecture,Unassigned,,Not started,not_started,implementation,src/features/implementation/ImplementationCenter.jsx,"All production dependencies and images are pinned with SBOM, licenses, support dates and reproducible build evidence.",AT-GOV-002,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,7
GOV-003,Architecture and governance,Provider capability evidence register,G0,P0,Architecture,Unassigned,,Not started,not_started,implementation,src/features/implementation/ImplementationCenter.jsx,"Every externally exposed capability has version, permission, eligibility, source date and contract-test evidence.",AT-GOV-003,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,8
GOV-004,Architecture and governance,Threat model and abuse cases,G0,P0,Architecture,Unassigned,,Not started,not_started,implementation,src/features/implementation/ImplementationCenter.jsx,"Cross-tenant, SSRF, token theft, duplicate payment, prompt injection and platform-abuse cases have mitigations and tests.",AT-GOV-004,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,9
GOV-005,Architecture and governance,Data classification and residency matrix,G0,P0,Architecture,Unassigned,,Not started,not_started,implementation,src/features/implementation/ImplementationCenter.jsx,"Every data class has owner, processor purpose, location, retention and deletion path.",AT-GOV-005,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,10
GOV-006,Architecture and governance,Release decision and exceptions process,G0,P0,Architecture,Unassigned,,Not started,not_started,implementation,src/features/implementation/ImplementationCenter.jsx,No critical security or policy gate can be waived by an ordinary developer or sales administrator.,AT-GOV-006,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,11
GOV-007,Architecture and governance,Capacity and cost approval,G0,P0,Architecture,Unassigned,,Not started,not_started,implementation,src/features/implementation/ImplementationCenter.jsx,Workbook assumptions are replaced by measured workload distributions and vendor quotas before scale claims.,AT-GOV-007,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,12
PLT-001,Tenant platform,"Organization, workspace and environment model",G0,P0,Platform,Unassigned,GOV-001,Not started,not_started,workspace-access,src/features/studio/FeatureStudioPage.jsx,"Server-created tenant/workspace/environment context propagates to every read, write and event.",AT-PLT-001,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,13
PLT-002,Tenant platform,"Identity, login and MFA",G0,P0,Platform,Unassigned,GOV-001,Not started,not_started,workspace-access,src/features/studio/FeatureStudioPage.jsx,"Login, recovery, MFA, session revocation and account enumeration controls pass security tests.",AT-PLT-002,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,14
PLT-003,Tenant platform,Role and attribute authorization,G0,P0,Platform,Unassigned,GOV-001,Not started,not_started,workspace-access,src/features/studio/FeatureStudioPage.jsx,"Owner/admin/agent/developer/billing/custom roles are enforced on API, background and realtime paths.",AT-PLT-003,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,15
PLT-004,Tenant platform,Cell directory and signed placement,G0,P0,Platform,Unassigned,GOV-001,Not started,not_started,workspace-access,src/features/studio/FeatureStudioPage.jsx,Tenant/account routes resolve with versioned cell assignment and ownership epoch; unknown routes fail closed.,AT-PLT-004,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,16
PLT-005,Tenant platform,Tenant provisioning saga,G0,P0,Platform,Unassigned,GOV-001,Not started,not_started,workspace-access,src/features/studio/FeatureStudioPage.jsx,"Retries create one tenant, one billing profile and one initial workspace; failed provisioning is recoverable.",AT-PLT-005,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,17
PLT-006,Tenant platform,Configuration snapshot distribution,G0,P0,Platform,Unassigned,GOV-001,Not started,not_started,workspace-access,src/features/studio/FeatureStudioPage.jsx,Healthy cell processes existing workloads during global control-plane outage using valid signed snapshots.,AT-PLT-006,Customer_Action_OS_Delivery_Tracker_v1(1).xlsx / Feature Tracker,18
