slice_id,capability,work_packages,baseline_gates,baseline_predecessors,flows,upstream_source,greeto_owner_or_target,adaptation_required,acceptance,status,source_commit,source_url
M01,"Source, license and version provenance",GOV-001 GOV-002 GOV-003,GOV-001:G0; GOV-002:G0; GOV-003:G0,GOV-001 <- none; GOV-002 <- none; GOV-003 <- none,none,LICENSE; README.md; package.json; package-lock.json; CHANGELOG.md; CONTRIBUTING.md,Reference register and reviewed source-diff process,"Pin commit/blobs, retain notices and qualify dependencies; no lockfile import",Hash/license checks and current provider-contract evidence,Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M02,App configuration and setup diagnostics,WHA-002 WHA-006 UX-005,WHA-002:G1; WHA-006:G1; UX-005:G1,"WHA-002 <- PLT-008,EVT-003; WHA-006 <- PLT-008,EVT-003; UX-005 <- PLT-001",F02,app/api/beUtils.ts:getAppDetails; app/envChecker.ts; app/components/MissingEnvVars.tsx,Core Meta configuration; existing channel-center,Server-owned app/config allowlist; no app secrets in UI,"Wrong app, missing config, redaction and stale-state tests",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M03,Embedded Signup config builder and launcher,WHA-003 UX-002 UX-005,WHA-003:G1; UX-002:G1; UX-005:G1,"WHA-003 <- PLT-008,EVT-003; UX-002 <- PLT-001; UX-005 <- PLT-001",F02,app/components/ClientDashboard.tsx:computeEsConfig; app/components/Fbl4bLauncher.tsx; app/publicConfig.ts,Existing channels/onboarding UI; proposed channels/meta child module,"Retain payload shapes; scoped attempts, exact origins and permitted versions","Callback/code order, concurrent tabs, cancel, expiry and spoofed-origin negatives",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M04,Code exchange and verified asset binding,WHA-003 WHA-004 PLT-008,WHA-003:G1; WHA-004:G1; PLT-008:G0,"WHA-003 <- PLT-008,EVT-003; WHA-004 <- PLT-008,EVT-003; PLT-008 <- GOV-001",F02,"app/api/token/route.ts; app/api/beUtils.ts:getToken,saveTokens",Core onboarding saga and secret broker,Replace email/client-ID authority and parallel activation with existing ordered checkpoints,"Grant mismatch, replayed state, consumed code, partial commit and resume",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M05,WABA and number inventory,WHA-006 UX-005,WHA-006:G1; UX-005:G1,"WHA-006 <- PLT-008,EVT-003; UX-005 <- PLT-001",F02,"app/api/beUtils.ts:getWabas,getClientPhones,getPhoneDetails; app/components/WabaCard.tsx; app/components/PhoneStatus.tsx",Channel readiness and scoped asset readers,References instead of token rows; bounded pagination and detailed unknowns,"Cross-app/WABA isolation, stale epoch, partial metadata and pagination",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M06,Number verification and registration,WHA-005,WHA-005:G1,"WHA-005 <- PLT-008,EVT-003",F02,"app/api/request-code/; app/api/verify-code/; app/api/register/; app/components/PhoneRegistrationModal.tsx; app/api/beUtils.ts:requestCode,verifyCode,registerNumber",Existing registration route-specific state machine,"No arbitrary phone ID, shared global PIN or unconditional coexistence registration","Wrong OTP cannot advance; rate/expiry, uncertain result and ownership tests",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M07,Subscription setup and revocation,WHA-004 PLT-010,WHA-004:G1; PLT-010:G0,"WHA-004 <- PLT-008,EVT-003; PLT-010 <- GOV-001",F02 F18,app/api/beUtils.ts:subscribeWebhook; app/api/deregister/route.ts,Core connection lifecycle through governed provider adapter,Disconnect is not number deregistration; preserve customer-owned assets,"Idempotent subscriptions, revoked rights, reconnect and disconnect effects",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M08,"Provider challenge, proof and event splitting",EVT-003 EVT-004,EVT-003:G0; EVT-004:G0,"EVT-003 <- DAT-001,PLT-004; EVT-004 <- DAT-001,PLT-004",F03,"app/api/webhooks/route.ts:GET,POST",Existing Go provider ingress,Use raw proof/shape fixtures; all-record enumeration and Kafka before ACK,"Missing secret, invalid proof, multi-entry/status/call batches and partial Kafka ACK",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M09,"Normalized messages, receipts and inbox",EVT-005 MSG-004 MSG-005,EVT-005:G0; MSG-004:G1; MSG-005:G1,"EVT-005 <- DAT-001,PLT-004; MSG-004 <- DAT-002,EVT-009,WHA-003,ACT-002; MSG-005 <- DAT-002,EVT-009,WHA-003",F04 F06,app/api/webhooks/route.ts; app/components/InboxLayout.tsx; app/components/MessageBubble.tsx; app/components/ConversationView.tsx,Existing message projections and inbox,No first-record-only reduction; durable IDs/status evidence and safe DTOs,Duplicate/rebatched/status-before-message and no loss of delivery facts,Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
M10,Realtime and webhook diagnostics,MSG-006 SUP-004 OPS-005,MSG-006:G1; SUP-004:G1; OPS-005:G0,"MSG-006 <- DAT-002,EVT-009,WHA-003; SUP-004 <- PLT-003,AIG-001; OPS-005 <- GOV-007",F04 F17,app/api/ably-auth/route.ts; app/components/LiveWebhooks.tsx; app/components/LivePhones.tsx; app/components/PhoneListSidebar.tsx,Planned realtime owner and existing Implementation Center,No Ably/global raw channel adoption; scoped minimized notifications after persistence,"Revoked membership, reconnect/resync, redaction and bounded buffers",Planned - not integrated,14703a3e1fdba9bcf75b2360b00817b6fcc9f79b,https://github.com/fbsamples/business-messaging-sample-tech-provider-app/tree/14703a3e1fdba9bcf75b2360b00817b6fcc9f79b
