id,gate,predecessors,source_row
GOV-001,G0,,6
GOV-002,G0,,7
GOV-003,G0,,8
GOV-004,G0,,9
GOV-005,G0,,10
GOV-006,G0,,11
GOV-007,G0,,12
PLT-001,G0,GOV-001,13
PLT-002,G0,GOV-001,14
PLT-003,G0,GOV-001,15
PLT-004,G0,GOV-001,16
PLT-005,G0,GOV-001,17
PLT-006,G0,GOV-001,18
PLT-007,G0,GOV-001,19
PLT-008,G0,GOV-001,20
PLT-009,G0,GOV-001,21
PLT-010,G0,GOV-001,22
PLT-011,G2,GOV-001,23
PLT-012,G0,GOV-001,24
DAT-001,G0,PLT-001,25
DAT-002,G0,PLT-001,26
DAT-003,G0,PLT-001,27
DAT-004,G0,PLT-001,28
DAT-005,G0,PLT-001,29
DAT-006,G0,PLT-001,30
DAT-007,G0,PLT-001,31
DAT-008,G0,PLT-001,32
DAT-009,G0,PLT-001,33
DAT-010,G0,PLT-001,34
EVT-001,G0,DAT-001;PLT-004,35
EVT-002,G0,DAT-001;PLT-004,36
EVT-003,G0,DAT-001;PLT-004,37
EVT-004,G0,DAT-001;PLT-004,38
EVT-005,G0,DAT-001;PLT-004,39
EVT-006,G0,DAT-001;PLT-004,40
EVT-007,G0,DAT-001;PLT-004,41
EVT-008,G0,DAT-001;PLT-004,42
EVT-009,G0,DAT-001;PLT-004,43
EVT-010,G0,DAT-001;PLT-004,44
EVT-011,G0,DAT-001;PLT-004,45
EVT-012,G0,DAT-001;PLT-004,46
WHA-001,G1,PLT-008;EVT-003,47
WHA-002,G1,PLT-008;EVT-003,48
WHA-003,G1,PLT-008;EVT-003,49
WHA-004,G1,PLT-008;EVT-003,50
WHA-005,G1,PLT-008;EVT-003,51
WHA-006,G1,PLT-008;EVT-003,52
WHA-007,G1,PLT-008;EVT-003,53
WHA-008,G1,PLT-008;EVT-003,54
WHA-009,G2,PLT-008;EVT-003,55
WHA-010,G2,PLT-008;EVT-003,56
WHA-011,G2,PLT-008;EVT-003,57
WHA-012,G3,PLT-008;EVT-003,58
INS-001,G2,WHA-002,59
INS-002,G2,WHA-002,60
INS-003,G2,WHA-002,61
INS-004,G2,WHA-002,62
INS-005,G2,WHA-002,63
INS-006,G2,WHA-002,64
INS-007,G2,WHA-002,65
INS-008,G2,WHA-002,66
TGM-001,G2,EVT-003,67
TGM-002,G2,EVT-003,68
TGM-003,G2,EVT-003,69
TGM-004,G2,EVT-003,70
TGM-005,G2,EVT-003,71
TGM-006,G2,EVT-003,72
TGM-007,G2,EVT-003,73
TGM-008,G2,EVT-003,74
MSG-001,G1,DAT-002;EVT-009;WHA-003,75
MSG-002,G1,DAT-002;EVT-009;WHA-003,76
MSG-003,G1,DAT-002;EVT-009;WHA-003,77
MSG-004,G1,DAT-002;EVT-009;WHA-003;ACT-002,78
MSG-005,G1,DAT-002;EVT-009;WHA-003,79
MSG-006,G1,DAT-002;EVT-009;WHA-003,80
MSG-007,G1,DAT-002;EVT-009;WHA-003,81
MSG-008,G1,DAT-002;EVT-009;WHA-003,82
MSG-009,G1,DAT-002;EVT-009;WHA-003,83
MSG-010,G1,DAT-002;EVT-009;WHA-003,84
MSG-011,G1,DAT-002;EVT-009;WHA-003,85
MSG-012,G1,DAT-002;EVT-009;WHA-003,86
WHK-001,G1,EVT-002;PLT-008,87
WHK-002,G1,EVT-002;PLT-008,88
WHK-003,G1,EVT-002;PLT-008,89
WHK-004,G1,EVT-002;PLT-008,90
WHK-005,G1,EVT-002;PLT-008,91
WHK-006,G1,EVT-002;PLT-008,92
WHK-007,G1,EVT-002;PLT-008,93
WHK-008,G1,EVT-002;PLT-008,94
WHK-009,G1,EVT-002;PLT-008,95
WHK-010,G1,EVT-002;PLT-008,96
CUS-001,G1,DAT-006,97
CUS-002,G1,DAT-006,98
CUS-003,G1,DAT-006,99
CUS-004,G1,DAT-006,100
CUS-005,G1,DAT-006,101
CUS-006,G1,DAT-006,102
CUS-007,G1,DAT-006,103
CUS-008,G1,DAT-006,104
MIS-001,G1,WFL-002;ACT-001,105
MIS-002,G1,WFL-002;ACT-001;AIG-001;AIG-009,106
MIS-003,G1,WFL-002;ACT-001,107
MIS-004,G1,WFL-002;ACT-001,108
MIS-005,G1,WFL-002;ACT-001,109
MIS-006,G2,WFL-002;ACT-001,110
MIS-007,G1,WFL-002;ACT-001;MIS-004;MIS-005,111
MIS-008,G1,WFL-002;ACT-001,112
MIS-009,G2,WFL-002;ACT-001,113
WFL-001,G1,EVT-002;PLT-006,114
WFL-002,G1,EVT-002;PLT-006,115
WFL-003,G1,EVT-002;PLT-006,116
WFL-004,G1,EVT-002;PLT-006,117
WFL-005,G1,EVT-002;PLT-006,118
WFL-006,G1,EVT-002;PLT-006;MIS-004,119
WFL-007,G1,EVT-002;PLT-006,120
WFL-008,G1,EVT-002;PLT-006,121
WFL-009,G1,EVT-002;PLT-006,122
WFL-010,G1,EVT-002;PLT-006,123
WFL-011,G1,EVT-002;PLT-006,124
WFL-012,G1,EVT-002;PLT-006,125
ACT-001,G1,PLT-003;DAT-002,126
ACT-002,G1,PLT-003;DAT-002,127
ACT-003,G1,PLT-003;DAT-002,128
ACT-004,G1,PLT-003;DAT-002,129
ACT-005,G1,PLT-003;DAT-002,130
ACT-006,G1,PLT-003;DAT-002,131
ACT-007,G1,PLT-003;DAT-002,132
ACT-008,G1,PLT-003;DAT-002,133
ACT-009,G1,PLT-003;DAT-002,134
ACT-010,G1,PLT-003;DAT-002,135
SIM-001,G1,MIS-004;WFL-006,136
SIM-002,G1,MIS-004;WFL-006,137
SIM-003,G1,MIS-004;WFL-006;SIM-001;SEC-009,138
SIM-004,G2,MIS-004;WFL-006,139
SIM-005,G2,MIS-004;WFL-006,140
SIM-006,G2,MIS-004;WFL-006,141
SIM-007,G2,MIS-004;WFL-006,142
SIM-008,G2,MIS-004;WFL-006,143
AIG-001,G1,PLT-008;ACT-002,144
AIG-002,G2,PLT-008;ACT-002,145
AIG-003,G1,PLT-008;ACT-002,146
AIG-004,G1,PLT-008;ACT-002,147
AIG-005,G2,PLT-008;ACT-002,148
AIG-006,G1,PLT-008;ACT-002,149
AIG-007,G1,PLT-008;ACT-002,150
AIG-008,G1,PLT-008;ACT-002,151
AIG-009,G1,PLT-008;ACT-002,152
AIG-010,G1,PLT-008;ACT-002,153
AIG-011,G1,PLT-008;ACT-002,154
AIG-012,G1,PLT-008;ACT-002,155
INT-001,G1,PLT-008;ACT-002,156
INT-002,G1,PLT-008;ACT-002,157
INT-003,G2,PLT-008;ACT-002,158
INT-004,G1,PLT-008;ACT-002,159
INT-005,G1,PLT-008;ACT-002,160
INT-006,G2,PLT-008;ACT-002,161
INT-007,G2,PLT-008;ACT-002,162
INT-008,G1,PLT-008;ACT-002,163
INT-009,G2,PLT-008;ACT-002,164
INT-010,G2,PLT-008;ACT-002,165
INT-011,G2,PLT-008;ACT-002,166
INT-012,G2,PLT-008;ACT-002,167
DEV-001,G1,PLT-003;EVT-002,168
DEV-002,G1,PLT-003;EVT-002,169
DEV-003,G2,PLT-003;EVT-002,170
DEV-004,G1,PLT-003;EVT-002;MIS-001,171
DEV-005,G2,PLT-003;EVT-002,172
DEV-006,G1,PLT-003;EVT-002,173
DEV-007,G1,PLT-003;EVT-002,174
DEV-008,G1,PLT-003;EVT-002,175
UX-001,G1,PLT-001,176
UX-002,G1,PLT-001,177
UX-003,G1,PLT-001,178
UX-004,G1,PLT-001,179
UX-005,G1,PLT-001,180
UX-006,G1,PLT-001,181
UX-007,G1,PLT-001,182
